the_geom,OBJECTID,Sensor Status (1=Active 0=Inactive),Occupancy,Unique ID,RWIS Site Number,RWIS RPU ID,Sensor Name,PLSS Township,PLSS Section,PLSS Range,RWIS Name,NWS ID,Latitude,Longitude,Altitude,County Name,Route Name,Mile Post,Cost Center,Garage Name,DOT District,County Number,Data Last Pulled from RWIS Sensor (UTC),REST Service Last Updated (UTC),Normal Volume,Long Volume,Average Speed (MPH),Average Headway,Lane ID,UTC Offset,RAMS Route ID,RAMS Route Measure
POINT (-94.7808 40.6773),48,1,0,51205542,512055,55,IA 2 EB,T68N,23,R34W,Bedford,RBFI4,40.6773,-94.7808,1100,TAYLOR,IA 2,66,554605,Clarinda,4,87,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,2,-05:00,S001930002E,62.7
POINT (-91.4473 42.471),11,1,0,51202742,512027,27,US 20 WB Passing Lane,T89N,33,R05W,Manchester,RMNI4,42.471,-91.4473,1013,DELAWARE,US 20,277,556605,Manchester,6,28,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,3,70,9999,2,-05:00,S001920020W,43.2
POINT (-91.6745 41.978),27,1,1,51200943,512009,9,I-380 NB Center Lane,T83N,21,R07W,Cedar Rapids I-380,RCDI4,41.978,-91.6745,773,LINN,I-380,20,556608,Cedar Rapids,6,57,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,9999,2,53,9999,3,-05:00,S001910380N,20
POINT (-92.470606 43.370716),35,1,0,51206941,512069,69,Traffic 1,T99N,26,R14W,Saratoga,SRGI4,43.370716,-92.470606,1357,HOWARD,IA 9,222,552896,Decorah,2,45,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,60,9999,1,-05:00,S001930009E,221.4
POINT (-91.9534 42.9649),30,1,0,51207041,512070,70,Traffic 1,T94N,7,R09W,Hawkeye,HKYI4,42.9649,-91.9534,1074.5,FAYETTE,US 18,257,552833,West Union,2,33,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,1,-05:00,S001920018E,263.4
POINT (-93.0027 40.739667),1,1,0,51201141,512011,11,IA 2 WB,T69N,26,R19W,Centerville,RCNI4,40.739667,-93.0027,968,APPANOOSE,IA 2,164,555604,Centerville,5,4,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,4,0,69,9999,1,-05:00,S001930002E,160
POINT (-94.308 41.049833),58,1,0,51201341,512013,13,US 34 EB,T72N,9,R30W,Creston,RCEI4,41.049833,-94.308,1274,UNION,US 34,87,554607,Creston,4,88,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,1,47,9999,1,-05:00,S001920034E,86.7
POINT (-91.6997 43.2455),6,1,0,51201541,512015,15,IA 9 WB,T97N,5,R07W,Decorah,RDCI4,43.2455,-91.6997,1017,WINNESHIEK,IA 9,265,552896,Decorah,2,96,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,2,0,49,9999,1,-05:00,S001930009E,264.8
POINT (-92.6436 41.1465),64,1,0,51205642,512056,56,IA 137 EB,T73N,12,R16W,Eddyville,RDYI4,41.1465,-92.6436,799,MONROE,IA 137,13,555690,Ottumwa,5,68,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,0,55,9999,2,-05:00,S001930137N,13.4
POINT (-94.7973 43.3993),25,1,0,51206442,512064,64,Traffic 2,T99N,13,R34W,Estherville,RETI4,43.3993,-94.7973,1283,EMMETT,IA 9,91,552656,Swea City,2,32,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,10,69,9999,2,-05:00,S001930009E,90.5
POINT (-92.5371 42.8332),32,1,0,51205843,512058,58,US 218 NB Passing Lane,T93N,30,R14W,Plainfield,RPFI4,42.8332,-92.5371,965,BREMER,US 218,211,552809,Waverly,2,9,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,8,3,68,9999,3,-05:00,S001920218S,62.1
POINT (-95.1476 42.4726),3,1,0,51207341,512073,73,WB Traffic,,,,Early,ERY14,42.4726,-95.1476,1399,Sac,US 20 W,71.4,553805,Storm Lake,3,81,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,1,0,64,9999,1,-05:00,S001920020W,235.537
POINT (-91.5555 40.895667),19,1,0,51203242,512032,32,US 218 NB Passing Lane,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,37,555844,Mount Pleasant,5,44,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,2,-05:00,S001920218N,38.2
POINT (-93.3498 43.392167),10,1,0,51204943,512049,49,I-35 NB Passing Lane,T99N,17,R21W,Worth County/Hanlontown,RHAI4,43.392167,-93.3498,1093,WORTH,I-35,211,552698,Hanlontown,2,98,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,0,9999,3,-05:00,S001910035S,7.4
POINT (-93.7943 41.0267),52,1,4,51203544,512035,35,I-35 SB Passing Lane,T72N,24,R26W,Osceola,ROSI4,41.0267,-93.7943,1115,CLARKE,US 34,115,555620,Osceola,5,20,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,5,17,61,9999,4,-05:00,S001920034E,114.1
POINT (-92.470606 43.370716),47,1,0,51206942,512069,69,Traffic 2,T99N,26,R14W,Saratoga,SRGI4,43.370716,-92.470606,1357,HOWARD,IA 9,222,552896,Decorah,2,45,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,2,62,9999,2,-05:00,S001930009E,221.4
POINT (-94.7808 40.6773),18,1,0,51205541,512055,55,IA 2 WB,T68N,23,R34W,Bedford,RBFI4,40.6773,-94.7808,1100,TAYLOR,IA 2,66,554605,Clarinda,4,87,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,0,48,9999,1,-05:00,S001930002E,62.7
POINT (-95.2915 41.498167),9,1,0,51200642,512006,6,I-80 EB Passing Lane,T77N,2,R39W,Avoca,RAVI4,41.498167,-95.2915,1238,POTTAWATTAMIE,I-80,43,554802,Avoca,4,78,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,3,3,68,9999,2,-05:00,S001910080E,42.4
POINT (-91.5555 40.895667),16,1,0,51203241,512032,32,US 218 NB Driving Lane,T70N,4,R06W,Mount Pleasant,RMPI4,40.895667,-91.5555,436,HENRY,US 218,37,555844,Mount Pleasant,5,44,03/26/2024 03:15:00 AM +0000,03/26/2024 03:26:11 AM +0000,0,1,66,9999,1,-05:00,S001920218N,38.2
